date,country,imports
2024-11-01,Mexico,2968.45879
2024-12-01,Mexico,2262.648946
2025-01-01,Mexico,2742.067198
2025-02-01,Mexico,2858.755318
2025-03-01,Mexico,3123.036218
2025-04-01,Mexico,3007.134075
2025-05-01,Mexico,2999.350645
2025-06-01,Mexico,2861.308869
2025-07-01,Mexico,2909.009923
2025-08-01,Mexico,3187.447667
