date,country,imports,year,month,quarter,treatment,control_group,post_tariff,post_2018,post_2019,post_2025,tariff_period,log_imports,did_term
2019-02-01,Mexico,27485.222761,2019,2,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.221403785082728,0
2019-03-01,Mexico,31111.754186,2019,3,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.345340974865826,0
2019-04-01,Mexico,30229.048253,2019,4,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.316558603751588,0
2019-05-01,Mexico,31907.669816,2019,5,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.370601692976978,0
2019-06-01,Mexico,30193.358032,2019,6,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.315377246458983,0
2019-07-01,Mexico,29953.511976,2019,7,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.307401857971197,0
2019-08-01,Mexico,30887.235941,2019,8,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.33809830120326,0
2019-09-01,Mexico,29273.757502,2019,9,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.284446745276577,0
2019-10-01,Mexico,30932.978041,2019,10,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.339578144296686,0
2019-11-01,Mexico,29060.754817,2019,11,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.277143911219154,0
2019-12-01,Mexico,27500.296961,2019,12,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.221952082178177,0
2020-01-01,Mexico,28202.281911,2020,1,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.24715817248224,0
2020-02-01,Mexico,28903.203952,2020,2,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.271707731346636,0
2020-03-01,Mexico,29882.071459,2020,3,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.305013962780903,0
2020-04-01,Mexico,15771.982737,2020,4,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),9.6659904004623,0
2020-05-01,Mexico,14857.386976,2020,5,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),9.6062524600101309,0
2020-06-01,Mexico,25672.078884,2020,6,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.153159255549072,0
2020-07-01,Mexico,28878.18955,2020,7,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.270841902329831,0
2020-08-01,Mexico,29555.632641,2020,8,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.294029618578351,0
2020-09-01,Mexico,29788.03202,2020,9,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.30186198175946,0
2020-10-01,Mexico,32785.496819,2020,10,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.397741526433748,0
2020-11-01,Mexico,29819.707574,2020,11,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.302924781899083,0
2020-12-01,Mexico,29360.853468,2020,12,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.287417551379525,0
2021-01-01,Mexico,28976.451284,2021,1,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.27423875440832,0
2021-02-01,Mexico,27201.783374,2021,2,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.211037815355372,0
2021-03-01,Mexico,33313.889483,2021,3,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.413729690597439,0
2021-04-01,Mexico,31991.844406,2021,4,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.373236286986446,0
2021-05-01,Mexico,31108.854912,2021,5,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.345247781499701,0
2021-06-01,Mexico,32776.616579,2021,6,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.397470630954817,0
2021-07-01,Mexico,31818.084797,2021,7,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.367790111425434,0
2021-08-01,Mexico,31957.126193,2021,8,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.372150476969933,0
2021-09-01,Mexico,31829.475316,2021,9,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.368148036194313,0
2021-10-01,Mexico,34138.925977,2021,10,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.438193536480405,0
2021-11-01,Mexico,34470.179273,2021,11,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.447849860338698,0
2021-12-01,Mexico,32986.107656,2021,12,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.403841771690397,0
2022-01-01,Mexico,33154.724468,2022,1,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.408940503347685,0
2022-02-01,Mexico,32506.486686,2022,2,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.389194938740788,0
2022-03-01,Mexico,40012.883474,2022,3,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.596956768087239,0
2022-04-01,Mexico,38516.00897,2022,4,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.558829251250375,0
2022-05-01,Mexico,39444.462145,2022,5,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.582648939867711,0
2022-06-01,Mexico,39121.482902,2022,6,2,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.574427029923163,0
2022-07-01,Mexico,37685.528471,2022,7,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.537031439557245,0
2022-08-01,Mexico,39778.769988,2022,8,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.591088631567928,0
2022-09-01,Mexico,39196.478729,2022,9,3,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.57634219340191,0
2022-10-01,Mexico,40143.500967,2022,10,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.600215837455801,0
2022-11-01,Mexico,36638.794268,2022,11,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.50886291071385,0
2022-12-01,Mexico,35815.845443,2022,12,4,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.486145684605482,0
2023-01-01,Mexico,36720.623234,2023,1,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.51109381719388,0
2023-02-01,Mexico,35502.242434,2023,2,1,0,1,1,1,1,0,Targeted Tariffs (2018-2024),10.477351140623476,0
