Standard Report - Imports,,,
Current date: 11/21/2025 5:25 PM (Eastern Standard Time),,,
Measures: Customs Value (Gen) ($US),,,
Commodity,Country,Time,Customs Value (Gen) ($US)
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-24,"22,708,417"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-24,"25,211,040"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-24,"24,482,702"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-24,"22,496,215"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-24,"21,956,886"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-24,"22,456,585"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-24,"28,162,596"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Sep-24,"29,656,374"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Oct-24,"22,997,734"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Nov-24,"29,456,874"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Dec-24,"24,107,160"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,2025 through August,"204,676,684"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jan-25,"27,775,100"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Feb-25,"21,607,875"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Mar-25,"26,081,583"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Apr-25,"21,605,642"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,May-25,"26,605,749"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jun-25,"27,445,816"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Jul-25,"28,221,998"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Brazil,Aug-25,"25,332,921"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2015,"9,579,062,560"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-15,"665,551,135"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-15,"740,785,515"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-15,"865,250,393"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-15,"830,277,757"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-15,"817,324,736"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-15,"1,012,896,425"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-15,"751,183,052"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-15,"820,975,949"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-15,"830,589,688"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-15,"844,912,639"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-15,"749,356,336"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-15,"649,958,935"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2016,"9,023,321,469"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-16,"693,638,678"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-16,"759,308,409"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-16,"796,407,676"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-16,"781,967,485"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-16,"755,525,187"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-16,"828,315,017"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-16,"622,120,699"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-16,"819,256,415"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-16,"781,945,862"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-16,"793,797,762"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-16,"739,959,802"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-16,"651,078,477"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2017,"8,666,328,832"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-17,"728,056,618"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-17,"730,725,053"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-17,"819,352,671"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-17,"680,516,214"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-17,"756,753,357"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-17,"738,491,651"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-17,"586,062,143"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-17,"738,541,394"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-17,"715,598,806"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-17,"799,462,196"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-17,"756,576,302"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-17,"616,192,427"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2018,"9,324,032,493"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-18,"776,951,524"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-18,"761,978,787"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-18,"846,399,853"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-18,"793,470,930"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-18,"783,992,533"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-18,"769,689,171"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-18,"633,144,884"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-18,"848,702,892"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-18,"777,005,309"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-18,"898,618,695"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-18,"779,866,239"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-18,"654,211,676"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2019,"9,105,946,799"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-19,"789,741,551"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-19,"764,601,709"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-19,"826,892,804"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-19,"772,454,342"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-19,"798,673,110"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-19,"772,887,238"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-19,"707,960,469"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-19,"828,819,339"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-19,"744,931,532"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-19,"707,322,114"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-19,"758,528,470"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-19,"633,134,121"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2020,"7,632,935,794"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-20,"772,649,811"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-20,"787,232,393"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-20,"594,265,750"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-20,"63,204,727"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-20,"177,055,458"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-20,"639,261,196"
